"img-link href","photo-count","list-view-price","list-view-date","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","eids-badge__description","eids-badge__label","he-lazy-image src 3"
"https://www.hepsiemlak.com/kayseri-talas-yenidogan-kiralik/daire/152291-102","37","30.000","31-12-2024","4 +
                          1","250 m²","6
                        Yaşında","2. Kat","Talas Yenidoğan Suzidil Konak'ta 4+1 Lüks Kiralık Daire","Kayseri / Talas / Yenidoğan Mah.","https://www.hepsiemlak.com/emlak-ofisi/yasar-gayrimenkul-talas-152291","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/9/2/2/5/1/a238e2e6-4680-48aa-9326-2b90b642353b.jpg","Yaşar Gayrimenkul Talas","","","",""
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/152291-299","19","10.250","03-01-2025","3 +
                          1","135 m²","21
                        Yaşında","12. Kat","****talas Anayurtun En Uygun En Güzel Dairesi ****","Kayseri / Talas / Mevlana Mah.","https://www.hepsiemlak.com/emlak-ofisi/yasar-gayrimenkul-talas-152291","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/9/2/2/5/1/a238e2e6-4680-48aa-9326-2b90b642353b.jpg","Yaşar Gayrimenkul Talas","","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-yesil-kiralik/daire/121516-404","35","13.500","03-01-2025","3 +
                          1","175 m²","11
                        Yaşında","4. Kat","Yeşil Mah. Meydanında Konumu Güzel Geniş Kullanışl Kiralık Daire","Kayseri / Kocasinan / Yeşil Mah.","","","","","","",""
"https://www.hepsiemlak.com/kayseri-talas-mevlana-kiralik/daire/121687-173","32","14.999","03-01-2025","1 +
                          1","75 m²","Sıfır Bina","4. Kat","Ev Dünyasından// Talas'ın Gözdesi Mevlanada Sıfır Bina Sıfır Eşyalı Lüks 1+1 Daire","Kayseri / Talas / Mevlana Mah.","https://www.hepsiemlak.com/emlak-ofisi/ev-dunyasi-121687","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/1/0/0/4/0/1/4/33ff3f84-b893-46fa-a39e-c903ae260256.jpeg","Ev Dünyası","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/8/6/1/2/1/2144667b-be43-45cd-b23a-c9bd3c5fcf5b.jpg","","",""
"https://www.hepsiemlak.com/kayseri-melikgazi-kosk-kiralik/daire/73109-1352","31","24.000","03-01-2025","4 +
                          1","220 m²","15
                        Yaşında","8. Kat","Kaçmaz Daire Köşk Sosyete Yakını Bakımlı Geniş Lüks Daire","Kayseri / Melikgazi / Köşk Mah.","https://www.hepsiemlak.com/emlak-ofisi/anemon-gayrimenkul-emlak-73109/umit-yigit-1390469","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/3/2/9/8/8/3/4/048ca9af-edd7-4c26-a74c-8b53442ea6fb.jpg","Anemon Gayrimenkul Emlak","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/6/4/0/9/3/1/b1059863-3ba6-4b82-a870-17f2119d69ef.png"
"https://www.hepsiemlak.com/kayseri-talas-bahcelievler-kiralik/daire/60779-4026","25","17.000","03-01-2025","3 +
                          1","180 m²","5
                        Yaşında","7. Kat","Bahçelievler Mahallesi 3+1 180 M2 Ultra Lüks Kiralık Daire 158/1","Kayseri / Talas / Bahçelievler Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/0/5/1/8/8/3/4/489eb4f1-b5ed-4627-bf8e-c7e47658ac3c.jpeg","","","","",""
"https://www.hepsiemlak.com/kayseri-kocasinan-zumrut-kiralik/daire/152291-294","18","13.999","03-01-2025","3 +
                          1","135 m²","Sıfır Bina","10. Kat","****zümrütün En Güzel Dairesi****","Kayseri / Kocasinan / Zümrüt Mah.","https://www.hepsiemlak.com/emlak-ofisi/yasar-gayrimenkul-talas-152291","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/5/6/0/8/3/4/1733327223572-43806527.jpg","Yaşar Gayrimenkul Talas","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/9/2/2/5/1/a238e2e6-4680-48aa-9326-2b90b642353b.jpg","","",""
"https://www.hepsiemlak.com/kayseri-melikgazi-bahcelievler-kiralik/daire/121417-1171","22","1.699.000","03-01-2025","3 +
                          1","165 m²","10
                        Yaşında","4. Kat","Yavuzselim Mah Satılık 3+1 165 M2 Daire Fırsatı","Kayseri / Melikgazi / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/yigit-mulk-ofisi-121417","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/0/4/7/8/9/3/4/6a014b63-2e4c-4a26-bea9-31e352308bc4.jpg","Yiğit Mülk Ofisi","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/1/4/1/2/1/d9378a76-5097-4f7e-8003-88006beb1116.jpg","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/img/eids-logo-mini.png"
"https://www.hepsiemlak.com/kayseri-melikgazi-gesi-fatih-kiralik/daire/124397-710","21","12.000","03-01-2025","3 +
                          1","165 m²","16
                        Yaşında","8. Kat","İldem 2 De Kiralık Daire","Kayseri / Melikgazi / Gesi Fatih Mah.","https://www.hepsiemlak.com/emlak-ofisi/gumuskalem-emlak-ve-danismanlik-124397","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/2/6/0/3/9/3/4/513d0af2-9846-408e-ae7e-5a20256a507b.jpg","Gümüşkalem Emlak Ve Danışmanlık","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/3/4/2/1/411d7dfe-0447-47bc-bbf2-0a2c4dbfb1f5.jpg","","",""
"https://www.hepsiemlak.com/kayseri-develi-ibrahimaga-kiralik/daire/692460-1460","17","12.500","03-01-2025","3 +
                          1","140 m²","9
                        Yaşında","4. Kat","Pazar Mevki Civarı 3+1 Geniş Süper Kiralık Daire Fiyatı Düştü!!!","Kayseri / Develi / İbrahimağa Mah.","https://www.hepsiemlak.com/emlak-ofisi/anadolu-emlak-692460","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/6/4/0/2/1/3/4/c0278aeb-9b8c-449b-91ce-1e92f6fde80a.jpg","Anadolu Emlak","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/6/4/2/9/6/5b565c2c-0fd9-4810-bbd7-741603e7e1c1.jpg","","",""
